"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens","invadeTime","longenough","extinctionTime","totalTime","survivalTime"
"1",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1458.7154605898,TRUE,1462.50317239891,3031.54551112724,3.78771180911554
"2",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1367.78082146669,TRUE,1371.64965483232,2978.58702662956,3.8688333656246
"3",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,2603.83398136964,TRUE,2611.46705605146,7050.88580769319,7.63307468181711
"4",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1716.1256291468,TRUE,1722.16091074049,3644.80313401481,6.03528159369148
"5",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1599.04119661553,TRUE,1604.68700476706,3522.91043598469,5.64580815153658
"6",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1365.57785973213,TRUE,1369.93461294927,3213.92186176087,4.35675321714302
"7",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1201.28584841745,TRUE,1204.5776549293,2709.80216695601,3.29180651185584
"8",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1161.91014429333,TRUE,1163.48755285252,2761.28053125238,1.57740855919269
"9",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1247.62709719092,TRUE,1251.43196717075,2550.87538913081,3.80486997982962
"10",0.1,0.01,2,2,4,100,1.4e+06,400,5,2000,2500,0.8,1854.6066136458,TRUE,1861.3495275768,4309.29740474965,6.74291393099816
"11",0.2,0.01,2,2,4,100,1.4e+06,400,5,2000,2500,0.8,1306.91763238879,TRUE,1311.61499420415,3871.24379684831,4.69736181535973
"12",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1242.05549426558,TRUE,1246.26980397835,3299.00604300178,4.21430971276914
"13",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1227.58694669856,TRUE,1232.09523328626,2712.75873510608,4.50828658770092
"14",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1505.04564918916,TRUE,1509.52093744174,3301.46185974628,4.47528825258428
"15",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1582.29882475998,TRUE,1588.419140472,4093.39242558308,6.12031571202192
"16",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1863.91002166735,TRUE,1866.87489252903,6702.01926622743,2.96487086168054
"17",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1277.02331603433,TRUE,1282.07580052545,2969.82597460582,5.05248449111468
"18",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1834.35409392069,TRUE,1841.71333049299,Inf,7.35923657230614
"19",0.1,0.01,2,2,4,100,1.4e+06,400,5,2000,2500,0.8,1625.32810537846,TRUE,1630.59292438072,3490.89154648701,5.26481900226463
"20",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1679.26221373887,TRUE,1682.49341895676,4115.11311894608,3.23120521789474
"21",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1446.39127918183,TRUE,1448.19997263915,3406.36817941283,1.80869345732162
"22",0.1,0.01,2,2,4,100,1.4e+06,400,5,2000,2500,0.8,1605.10732914908,TRUE,1611.19744419522,4452.20665834226,6.09011504613636
"23",0.2,0.01,2,2,4,100,1.4e+06,400,5,2000,2500,0.8,3326.0288336027,TRUE,3346.14787789991,Inf,20.119044297217
"24",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1380.57952862239,TRUE,1385.80131641095,3171.128816209,5.22178778856619
"25",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1474.96847825335,TRUE,1479.27592661846,3054.24453964383,4.30744836510416
"26",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,2328.75389775018,TRUE,2337.44631836778,6570.68363160517,8.69242061760133
"27",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1764.29943992764,TRUE,1769.77973255387,3524.51738973562,5.48029262623027
"28",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1823.54058085229,TRUE,1830.2380748047,Inf,6.69749395241274
"29",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1363.81856810041,TRUE,1367.73570287404,3001.74831078773,3.91713477362828
"30",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1450.34088364793,TRUE,1455.49075651738,3395.62972998074,5.14987286945166
"31",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1364.33536534201,TRUE,1368.53062208538,2865.67429098166,4.19525674337592
"32",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1495.33469270595,TRUE,1499.12782473765,3720.36108557443,3.79313203170136
"33",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1122.4701074373,TRUE,1125.65762280884,2477.75355753104,3.18751537154276
"34",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1664.32379484636,TRUE,1668.81962901641,3279.74154863865,4.49583417004828
"35",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1414.20608614465,TRUE,1418.00393795761,3356.49917701409,3.79785181296052
"36",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1462.17525648148,TRUE,1467.47380592391,3848.00547789346,5.29854944242652
"37",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1290.68815737239,TRUE,1295.26768107854,2882.85989359714,4.57952370615112
"38",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1333.8253786267,TRUE,1337.20165963763,2721.85711785553,3.37628101092832
"39",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1436.73255027289,TRUE,1441.41544069016,3266.17522570192,4.68289041726803
"40",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1592.11330299152,TRUE,1597.01110636471,4285.61703726487,4.89780337318507
"41",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1315.46713246837,TRUE,1318.84219782987,2615.17565217315,3.37506536149795
"42",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1702.96264549477,TRUE,1705.41688899073,4457.49305472506,2.45424349595191
"43",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1373.55085727013,TRUE,1378.80845606814,3544.19315100186,5.25759879801376
"44",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1529.23351698991,TRUE,1534.25955340599,3245.17089484668,5.02603641607902
"45",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1057.46284337341,TRUE,1060.83074387778,2171.55089903466,3.36790050436798
"46",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1773.26449214856,TRUE,1779.73899557752,3984.73004892594,6.47450342895377
"47",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1105.3204950405,TRUE,1108.69384903273,2542.52391603481,3.37335399223502
"48",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1249.83535685436,TRUE,1254.60758934333,2722.4311372235,4.77223248896144
"49",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1676.72239018263,TRUE,1682.02187389931,3801.38337516516,5.29948371668661
"50",0.2,0.01,2,2,4,100,1.4e+06,400,5,2000,2500,0.8,1484.63788466612,TRUE,1488.30817298451,2622.28139343494,3.67028831839298
"51",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1794.50595768482,TRUE,1797.4958248114,4401.39704106882,2.98986712657802
"52",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1437.11774893188,TRUE,1441.41251397186,2898.29171147034,4.2947650399833
"53",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1781.12779989718,TRUE,1788.94218123013,3992.02877622763,7.81438133295433
"54",0.3,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1885.18784770182,TRUE,1892.15254987129,7127.81476858676,6.96470216947614
"55",0.1,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,1829.56858095921,TRUE,1836.25485728626,4611.79919575343,6.68627632705238
"56",0.2,0.01,1,2,4,100,1.4e+06,400,5,2000,2500,0.8,967.546466112446,TRUE,970.287633240464,2030.14105159565,2.74116712801811
