"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens","invadeTime","longenough","extinctionTime","totalTime","survivalTime"
"1","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1136.84684011821","TRUE","1139.97519567247","2299.22193849069","3.12835555426159"
"2","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1199.76963531855","TRUE","1202.63530805574","2439.33371953893","2.86567273719197"
"3","0.3","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1809.78210823533","TRUE","1817.76385072821","4329.76770518889","7.98174249287717"
"4","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1391.11295250232","TRUE","1395.35396072249","3138.9081635753","4.24100822016612"
"5","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1347.4478180668","TRUE","1353.1645274071","3198.69484818783","5.71670934029908"
"6","0.3","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1310.62804729821","TRUE","1314.59671654754","2943.2709656643","3.96866924933147"
"7","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1333.33885695445","TRUE","1335.3935075273","3357.96146858874","2.05465057285755"
"8","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1407.4814301786","TRUE","1409.50768345677","3078.83952924459","2.02625327816872"
"9","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1291.75999065097","TRUE","1295.59062898437","2960.20086007039","3.83063833340384"
"10","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1628.05887621301","TRUE","1635.26162739669","Inf","7.20275118367908"
"11","0.2","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","2066.78377451669","TRUE","2076.34335904315","5193.85749722307","9.55958452645154"
"12","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1624.03463968485","TRUE","1628.02003711815","3304.10993412327","3.98539743330275"
"13","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1925.20152139781","TRUE","1930.87519942665","5761.50402587378","5.67367802884132"
"14","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1378.53392656047","TRUE","1383.43871003131","3210.64394032235","4.90478347084104"
"15","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
","Error in (indextoSample - final):indextoSample : NA/NaN argument
"
"16","0.1","0.01","0","2","19","100","1.4e+06","100","20","2000","2500","0.8","3152.09690938414","TRUE","3168.14232418135","7685.48258095393","16.0454147972141"
"17","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1434.61481204728","TRUE","1440.18408838775","Inf","5.56927634047361"
"18","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1613.63985653354","TRUE","1619.80305533228","4943.21651555291","6.16319879873618"
"19","0.1","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1489.09387697678","TRUE","1494.87325029186","3656.3977742396","5.77937331507201"
"20","0.2","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1154.19001405388","TRUE","1157.70327241511","2412.37856434467","3.51325836122442"
"21","0.3","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1734.2721960114","TRUE","1740.99959442544","4061.69652748627","6.72739841404177"
"22","0.1","0.01","0","2","19","100","1.4e+06","100","20","2000","2500","0.8","4179.91806524578","TRUE","4208.1950654429","14673.8876471031","28.2770001971176"
"23","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1337.15249816585","TRUE","1342.4533514387","3304.96736946054","5.30085327284928"
"24","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1231.56913099185","TRUE","1235.4988076763","2759.07722263495","3.92967668445021"
"25","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1274.76967726809","TRUE","1278.63650496397","2727.01459007238","3.86682769588379"
"26","0.2","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1301.46287092704","TRUE","1305.64942687139","2883.71604570118","4.18655594435108"
"27","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1803.85709165871","TRUE","1811.9487415583","4360.96832025831","8.09164989958481"
"28","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","2988.32612395157","TRUE","3003.25791208002","14169.77433213","14.9317881284519"
"29","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1200.07291166108","TRUE","1202.92118764558","2156.76130542825","2.84827598450443"
"30","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","2167.0224775359","TRUE","2174.15239712873","9315.73560843906","7.1299195928309"
"31","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1507.99749455503","TRUE","1514.73496656103","4260.58022719872","6.73747200599473"
"32","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1440.6705437193","TRUE","1444.90897734059","3383.42739377262","4.23843362129151"
"33","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1460.00258536038","TRUE","1464.325532395","5032.47138231104","4.32294703461821"
"34","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1404.90870327016","TRUE","1409.18083723987","3985.44413356861","4.27213396971501"
"35","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1329.10556053243","TRUE","1332.67839282108","2681.36434245474","3.57283228864594"
"36","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1624.17511942345","TRUE","1629.1394375957","3769.9939371041","4.9643181722488"
"37","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1148.52057496092","TRUE","1151.58554743701","2337.10403517189","3.06497247608081"
"38","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1869.94719525409","TRUE","1873.01992532479","11519.8145669766","3.07273007069602"
"39","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1917.32069870195","TRUE","1923.13729916979","3904.93968173663","5.81660046783736"
"40","0.1","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1549.90180199004","TRUE","1553.29665928933","2869.54256644757","3.3948572992922"
"41","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1556.2689278719","TRUE","1562.68913072175","4449.89261999346","6.42020284984892"
"42","0.3","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1130.28605800281","TRUE","1133.7538734109","2559.04094932164","3.46781540809184"
"43","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1318.46309855001","TRUE","1321.8659068572","2625.7299385522","3.40280830719121"
"44","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1931.33317015571","TRUE","1938.12007551286","4968.77675135482","6.78690535715236"
"45","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1947.52339638675","TRUE","1956.76780342884","7543.21705287988","9.24440704208996"
"46","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1695.08074774895","TRUE","1699.44051160542","3436.52345988645","4.35976385647814"
"47","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","2099.74553971132","TRUE","2103.13549309549","4779.95149877102","3.38995338416589"
