"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens","invadeTime","longenough","extinctionTime","totalTime","survivalTime"
"1",0.1,0.01,1,2,8.4,100,1.4e+06,400,20,8000,4e+04,0.2,352.4480711482,TRUE,353.596281934109,815.045438632605,1.14821078590955
"2",0.2,0.01,1,2,12.2,100,1.4e+06,400,20,8000,4e+04,0.2,336.33335078835,TRUE,337.503046842767,762.409899173936,1.16969605441744
"3",0.3,0.01,1,2,9.8,100,1.4e+06,400,20,8000,4e+04,0.2,353.408262401878,TRUE,354.613150880776,852.734118682033,1.20488847889806
"4",0.1,0.01,1,2,9.4,100,1.4e+06,400,20,8000,4e+04,0.2,384.881543971186,TRUE,386.260590403352,885.929322039002,1.37904643216604
"5",0.2,0.01,2,2,8.6,100,1.4e+06,400,20,8000,4e+04,0.2,376.187453831043,TRUE,377.480824262573,905.34685553512,1.29337043153009
"6",0.3,0.01,1,2,10.7,100,1.4e+06,400,20,8000,4e+04,0.2,367.890727317795,TRUE,369.214804828906,926.160577747855,1.324077511111
"7",0.1,0.01,1,2,7.6,100,1.4e+06,400,20,8000,4e+04,0.2,336.114131959204,TRUE,337.233710763665,797.619959613798,1.11957880446101
"8",0.2,0.01,1,2,9.8,100,1.4e+06,400,20,8000,4e+04,0.2,363.244527899005,TRUE,364.523388096135,929.721603480513,1.2788601971298
"9",0.3,0.01,2,2,9.9,100,1.4e+06,400,20,8000,4e+04,0.2,345.407768361437,TRUE,346.550733430586,827.913496620896,1.14296506914872
"10",0.1,0.01,2,2,9.2,100,1.4e+06,400,20,8000,4e+04,0.2,363.025657522436,TRUE,364.318050175308,911.574452286838,1.29239265287129
"11",0.2,0.01,1,2,7.3,100,1.4e+06,400,20,8000,4e+04,0.2,329.870434970479,TRUE,330.94811690162,777.992488810663,1.07768193114163
"12",0.3,0.01,1,2,8.1,100,1.4e+06,400,20,8000,4e+04,0.2,332.73363387806,TRUE,333.826859463392,773.366745455477,1.09322558533273
"13",0.1,0.01,1,2,9.4,100,1.4e+06,400,20,8000,4e+04,0.2,367.528514546329,TRUE,368.736133505747,853.85563451127,1.20761895941791
"14",0.2,0.01,1,2,11.6,100,1.4e+06,400,20,8000,4e+04,0.2,337.441195922754,TRUE,338.52978885674,784.74251318243,1.08859293398541
"15",0.3,0.01,1,2,8.9,100,1.4e+06,400,20,8000,4e+04,0.2,321.591386698634,TRUE,322.591658373331,724.097728879509,1.00027167469756
"16",0.1,0.01,1,2,9,100,1.4e+06,400,20,8000,4e+04,0.2,349.621056015533,TRUE,350.857899391483,854.684652180992,1.23684337595046
"17",0.2,0.01,2,2,10,100,1.4e+06,400,20,8000,4e+04,0.2,349.302119923672,TRUE,350.438127311538,800.670268309128,1.13600738786585
"18",0.3,0.01,1,2,8.4,100,1.4e+06,400,20,8000,4e+04,0.2,357.005245098205,TRUE,358.198035988601,852.633933116167,1.19279089039554
"19",0.1,0.01,2,2,10.9,100,1.4e+06,400,20,8000,4e+04,0.2,341.997144970486,TRUE,343.099928475564,807.0306313476,1.10278350507701
"20",0.2,0.01,1,2,8.3,100,1.4e+06,400,20,8000,4e+04,0.2,390.929127992103,TRUE,392.414851918187,948.55155092609,1.48572392608389
"21",0.3,0.01,1,2,11,100,1.4e+06,400,20,8000,4e+04,0.2,361.968554274396,TRUE,363.134411214323,837.11056109482,1.16585693992721
"22",0.1,0.01,1,2,7.3,100,1.4e+06,400,20,8000,4e+04,0.2,365.954325450076,TRUE,367.238398050281,900.95738454785,1.28407260020458
"23",0.2,0.01,1,2,11,100,1.4e+06,400,20,8000,4e+04,0.2,378.765169553689,TRUE,380.105130442749,914.221060453198,1.33996088905974
"24",0.3,0.01,1,2,10.2,100,1.4e+06,400,20,8000,4e+04,0.2,354.224964199455,TRUE,355.355288674776,826.843972750397,1.13032447532106
"25",0.1,0.01,1,2,10.3,100,1.4e+06,400,20,8000,4e+04,0.2,329.56447044534,TRUE,330.658175026988,788.209446384628,1.09370458164881
"26",0.2,0.01,1,2,8.7,100,1.4e+06,400,20,8000,4e+04,0.2,323.786269715191,TRUE,324.954375650928,815.29745350278,1.16810593573666
"27",0.3,0.01,1,2,NA,100,1.4e+06,400,20,8000,4e+04,0.2,406.694802103585,TRUE,408.139559544224,975.035035600456,1.44475744063891
"28",0.1,0.01,1,2,7.4,100,1.4e+06,400,20,8000,4e+04,0.2,365.388903518479,TRUE,366.627961457772,860.210695761357,1.23905793929373
"29",0.2,0.01,1,2,9,100,1.4e+06,400,20,8000,4e+04,0.2,335.26669092438,TRUE,336.354553906415,764.92347595828,1.08786298203461
"30",0.3,0.01,1,2,13.3,100,1.4e+06,400,20,8000,4e+04,0.2,361.294464677537,TRUE,362.57109241633,902.679836861822,1.2766277387932
"31",0.1,0.01,1,2,6.9,100,1.4e+06,400,20,8000,4e+04,0.2,348.783411923093,TRUE,349.951024674689,875.390785662898,1.16761275159564
"32",0.2,0.01,1,2,12.2,100,1.4e+06,400,20,8000,4e+04,0.2,341.61916511163,TRUE,342.799421347523,811.138987423117,1.18025623589352
"33",0.3,0.01,1,2,10.5,100,1.4e+06,400,20,8000,4e+04,0.2,360.180858979046,TRUE,361.383515712503,856.156234130513,1.20265673345676
"34",0.1,0.01,1,2,8.6,100,1.4e+06,400,20,8000,4e+04,0.2,351.018808397918,TRUE,352.273449124443,858.898330062152,1.25464072652528
"35",0.2,0.01,1,2,NA,100,1.4e+06,400,20,8000,4e+04,0.2,356.43361157158,TRUE,357.605467744573,826.486157645496,1.17185617299276
"36",0.3,0.01,1,2,6.9,100,1.4e+06,400,20,8000,4e+04,0.2,359.140337420416,TRUE,360.267370460928,860.264929159558,1.12703304051183
"37",0.1,0.01,1,2,8.1,100,1.4e+06,400,20,8000,4e+04,0.2,345.972764623567,TRUE,347.078701580372,801.807001784298,1.1059369568049
"38",0.2,0.01,1,2,8.6,100,1.4e+06,400,20,8000,4e+04,0.2,362.567175454624,TRUE,363.778929209686,894.33136941878,1.21175375506209
"39",0.3,0.01,1,2,7.3,100,1.4e+06,400,20,8000,4e+04,0.2,351.795267489337,TRUE,352.969270457376,852.939842876953,1.17400296803925
"40",0.1,0.01,1,2,9.1,100,1.4e+06,400,20,8000,4e+04,0.2,368.465100735614,TRUE,369.842032505189,929.446044817602,1.37693176957504
"41",0.2,0.01,1,2,7.8,100,1.4e+06,400,20,8000,4e+04,0.2,395.041420510035,TRUE,396.420803499379,908.652825058713,1.37938298934324
"42",0.3,0.01,1,2,8.4,100,1.4e+06,400,20,8000,4e+04,0.2,321.36296515339,TRUE,322.343238321545,724.200808769967,0.980273168154724
"43",0.1,0.01,1,2,8.8,100,1.4e+06,400,20,8000,4e+04,0.2,350.244827169884,TRUE,351.429378987122,866.314048200309,1.18455181723749
"44",0.2,0.01,1,2,8.6,100,1.4e+06,400,20,8000,4e+04,0.2,358.082374353163,TRUE,359.267235790349,877.470009381652,1.18486143718536
"45",0.3,0.01,1,2,7.1,100,1.4e+06,400,20,8000,4e+04,0.2,332.948134498064,TRUE,334.092113596459,751.035568556203,1.14397909839522
"46",0.1,0.01,1,2,9.4,100,1.4e+06,400,20,8000,4e+04,0.2,368.148458441477,TRUE,369.383316120203,846.347716435899,1.23485767872592
"47",0.2,0.01,1,2,7.2,100,1.4e+06,400,20,8000,4e+04,0.2,316.892930884601,TRUE,317.990627919182,737.560798500583,1.09769703458113
"48",0.3,0.01,1,2,9.6,100,1.4e+06,400,20,8000,4e+04,0.2,349.25689936797,TRUE,350.387894066693,774.641635413572,1.13099469872355
"49",0.1,0.01,1,2,11.4,100,1.4e+06,400,20,8000,4e+04,0.2,366.108074772832,TRUE,367.333837325343,917.940140350934,1.22576255251136
"50",0.2,0.01,1,2,9.6,100,1.4e+06,400,20,8000,4e+04,0.2,358.877488766379,TRUE,360.124722580065,822.978544289375,1.24723381368614
