"","pubmedRefs","colonySize","mass","distrSize","rand","AIC","boot","lambda","attempt","predictors","beta.(Intercept)","beta.pubmedRefs","beta.colonySize","beta.mass","beta.distrSize","beta.rand","dAIC","weight"
"1",FALSE,FALSE,FALSE,FALSE,FALSE,274.333416979682,1,-0.0780394833669997,2,"1",2.99929808978962,NA,NA,NA,NA,NA,23.1711501355539,3.57175311058666e-06
"2",TRUE,FALSE,FALSE,FALSE,FALSE,275.698559164347,1,-0.0276728662271159,1,"pubmedRefs",3.6270859087206,1.83187092944329,NA,NA,NA,NA,24.5362923202186,1.80486437474491e-06
"3",FALSE,TRUE,FALSE,FALSE,FALSE,285.467918539423,1,0.0265243026778359,1,"colonySize",3.62786130959769,NA,1.37233668328988,NA,NA,NA,34.3056516952944,1.36475639671667e-08
"4",FALSE,FALSE,TRUE,FALSE,FALSE,274.749930088832,1,-0.919673968657129,2,"mass",3.51109244201478,NA,NA,-0.664469314333293,NA,NA,23.5876632447035,2.90025883968677e-06
"5",FALSE,FALSE,FALSE,TRUE,FALSE,277.074320534757,1,-0.477089388895069,1,"distrSize",3.79837496556887,NA,NA,NA,1.97173384329197,NA,25.9120536906286,9.07197379211801e-07
"6",FALSE,FALSE,FALSE,FALSE,TRUE,292.183370589647,1,NA,5,"rand",3.62962962962963,NA,NA,NA,NA,0.0509577944896304,41.0211037455185,4.75130876534954e-10
"7",TRUE,TRUE,FALSE,FALSE,FALSE,274.51527546101,1,0.0698656066779108,1,"pubmedRefs + colonySize",3.6039786100524,1.59673879138112,0.824489621022399,NA,NA,NA,23.3530086168816,3.26130460850994e-06
"8",TRUE,FALSE,TRUE,FALSE,FALSE,275.636980032345,1,NA,5,"pubmedRefs + mass",3.62962962962963,1.86390254100326,NA,-0.239370942593785,NA,NA,24.474713188217,1.86129971707306e-06
"9",TRUE,FALSE,FALSE,TRUE,FALSE,273.77782059028,1,-0.286503646053113,1,"pubmedRefs + distrSize",3.42205900221845,1.31280207482316,NA,NA,1.69005733181657,NA,22.6155537461513,4.71549897366283e-06
"10",TRUE,FALSE,FALSE,FALSE,TRUE,277.472107734599,1,-0.0290692151811706,1,"pubmedRefs + rand",3.62794108109802,1.86125304744633,NA,NA,NA,0.274175331914981,26.3098408904707,7.43572627342371e-07
